Shiggaon,Basavaraj Bommai
Nippani,Shashikala Annasaheb Jolle
Chikkodi-Sadalga,Ramesh Katti
Athani,Mahesh Kumathalli
Kagwad,Shrimant Balasaheb Patil
Kudachi (SC),P. Rajeev
Raybag (SC),Duryodhan Mahalingappa Aihole
Hukkeri,Nikhil Katti
Arabhavi,Balachandra Jarakiholi
Gokak,Ramesh Jarakiholi
Yemkanmardi (ST),Basavaraj Hundri
Belgaum Uttar,Dr. Ravi Patil
Belgaum Dakshin,Abhay Patil
Belgaum Rural,Nagesh Mannolkar
Khanapur,Vittal Halagekar
Kittur,Mahantesh Doddagoudar
Bailhongal,Jagdish Channappa Metgud
Saundatti Yellamma,Ratna Vishwanath Mamani
Ramdurg,Chikka Revanna
Mudhol (SC),Govind Karjol
Terdal,Siddu Savadi
Jamkhandi,Jagadish Gudagunti
Bilgi,Murugesh Rudrappa Nirani
Badami,Shantha Gowda Patil
Bagalkot,Veerabhadrayya Charantimath
Hungund,Doddanagouda G Patil
Muddebihal,AS Patil Nadahalli
Babaleshwar,Vijugouda S Patil
Bijapur City,B R Patil (Yatnal)
Sindgi,Ramesh Bhusanur
Afzalpur,Malikaiah Guttedar
Jewargi,Shivanagoudapatil Raddevadagi
Shorapur (ST),Narasimha Nayak (Rajugouda)
Shahapur,Ameenreddy Yalagi
Yadgir,Venkatareddy Mudnal
Chittapur (SC),Manikanta Rathod
Chincholi (SC),Dr. Avinash Jadhav
Gulbarga Rural (SC),Basavaraj Mattimod
Gulbarga Dakshin,Dattatraya Patil Revoor
Gulbarga Uttar,Chandrakant Patil
Aland,Subhash Guttedar
Basavakalyan,Sharanu Salagar
Humnabad,Siddu Patil
Bidar South,Dr. Shailendra Beldale
Aurad (SC),Prabhu Chavan
Raichur Rural (ST),Tipparaju Havaldar
Raichur,Dr. Shivaraj Patil
Devedurga (ST),K Shivanagouda Nayak
Lingsugur (SC),Manappa D Vajjal
Sindhanur,K Kariyappa
Maski (ST),Pratapgouda Patil
Kushtagi,Doddanagouda Patil
Kanakagiri (SC),Basavaraj Dadesaguru
Yelburga,Halappa Basappa Achar
Shirahatti (SC),Dr. Chandru Lamani
Gadag,Anil Menasinakai
Nargund,C.C. Patil
Navalgund,Shankar Patil Munenakoppa
Kundgol,M R Patil
Dharwad,Amrut Ayyappa Desai
Hubli-Dharwad-East (SC),Arvind Bellad
Hubli-Dharwad-West,Dr. Kranti Kiran
Haliyal,Sunil Hegde
Karwar,Rupali Santosh Nayak
Kumta,Dinakar Shetty
Bhatkal,Sunil Baliya Nayak
Sirsi,Vishweshwar Hegde Kageri
Yellapur,Shivaram Hebbar
Byadgi,Virupakshappa Ballari
Hirekerur,B.C. Patil
Ranibennur,Arun Kumar Pujar
Hadagalli (SC),Krishna Naik
Vijayanagara,Siddharth Singh
Kampli (ST),T H Suresh Babu
Siruguppa (ST),M.S. Somalingappa
Bellary (ST),B. Sriramulu
Bellary City,Gali Somashekhara Reddy
Sandur (ST),Shilpa Raghavendra
Kudligi (ST),Lokesh V Nayaka
Molakalmuru (ST),S. Thippeswamy
Challakere (ST),Anilkumar
Chitradurga,G H Thippareddy
Hiriyur,K. Poornima Srinivas
Hosadurga,S Lingamurthy
Holalkere (SC),M. Chandrappa
Jagalur (ST),S V Ramachandra
Harihar,B.P. Harish
Honnali,M P Renukacharya
Shimoga Rural (SC),Ashok Nayak
Bhadravati,Mangoti Rudresh
Tirthahalli,Araga Jnanendra
Shikaripur,BY Vijayendra
Sorab,Kumar Bangarappa
Sagar,Haratalu H. Halappa
Kundapura,Kiran Kumar Kodgi
Udupi,Yashpal Suvarna
Kapu,Gurme Suresh Shetty
Karkal,V. Sunil Kumar
Sringeri,D. N. Jeevaraj
Chikmagalur,C T Ravi
Tarikere,D S Suresh
Kadur,K S Prakash
Chikkanayakanahalli,J.C. Madhuswamy
Tiptur,B.C. Nagesh
Turuvekere,Masala Jayaram
Kunigal,D Krishna Kumar
Tumkur City,G.B. Jyothi Ganesh
Tumkur Rural,B Suresh Gowda
Koratagere (SC),Anil Kumar,Retd. IAS
Sira,Dr. Rajesh Gowda
Pavagada (SC),Krishna Nayak
Madhugiri,LC Nagaraj
Gauribidanur,Dr. Shashidhar
